Carrier,Destination,Delay,Departure delay,Taxi-Out time,Taxi-in time,OnAir,Power,MaxSpeed,age,Fuelseat,Fuelburn,Seats,Week
WN,FLL,0,54,11,8,119,26100,473,24,2.79,2.82,126,0
WN,PVD,0,44,8,3,52,26100,473,24,2.79,2.82,126,0
WN,ORF,0,22,13,4,31,26100,473,24,2.79,2.82,126,0
WN,ROC,0,24,9,5,52,26100,473,24,2.79,2.82,126,0
WN,MSY,0,61,14,6,122,26100,473,24,2.79,2.82,126,0
WN,MSP,61,28,62,6,148,27300,473,24,2.68,3.45,160,0
WN,RSW,0,79,10,5,126,26100,473,24,2.79,2.82,126,0
WN,ALB,0,36,9,5,51,27300,473,24,2.68,3.45,160,0
WN,ROC,0,37,8,9,45,26100,473,24,2.79,2.82,126,0
WN,SMF,0,37,15,3,306,26100,473,24,2.79,2.82,126,0
WN,CLT,8,36,14,13,71,26100,473,24,2.79,2.82,126,0
WN,PVD,0,45,9,9,48,26100,473,24,2.79,2.82,126,0
WN,JAX,0,44,10,7,94,26100,473,24,2.79,2.82,126,0
WN,RDU,0,70,10,9,39,26100,473,24,2.79,2.82,126,0
WN,ISP,0,35,12,3,43,26100,473,24,2.79,2.82,126,0
WN,BOS,0,109,9,10,61,26100,473,24,2.79,2.82,126,0
WN,DAL,0,70,8,4,148,26100,473,24,2.79,2.82,126,0
WN,BNA,4,17,25,11,78,27300,473,24,2.68,3.45,160,0
WN,MCO,0,43,15,12,109,26100,473,24,2.79,2.82,126,0
WN,MDW,8,28,11,25,92,27300,473,24,2.68,3.45,160,0
WN,DAL,10,12,36,4,155,27300,473,24,2.68,3.45,160,0
WN,HOU,0,19,20,5,165,27300,473,24,2.68,3.45,160,0
WN,PIT,0,45,9,5,35,26100,473,24,2.79,2.82,126,0
WN,MCI,0,165,10,4,134,26100,473,24,2.79,2.82,126,0
WN,ORF,0,55,14,4,29,26100,473,24,2.79,2.82,126,0
WN,DTW,0,118,14,9,60,26100,473,24,2.79,2.82,126,0
WN,CLE,0,92,11,4,48,26100,473,24,2.79,2.82,126,0
WN,SDF,0,109,17,6,70,26100,473,24,2.79,2.82,126,0
WN,FLL,0,117,9,7,117,26100,473,24,2.79,2.82,126,0
WN,BUF,0,119,17,5,48,27300,473,24,2.68,3.45,160,0
WN,BOS,19,125,33,4,68,26100,473,24,2.79,2.82,126,0
WN,TPA,0,162,15,5,116,27300,473,24,2.68,3.45,160,0
WN,RDU,0,95,10,6,42,26100,473,24,2.79,2.82,126,0
WN,ROC,0,113,14,6,46,26100,473,24,2.79,2.82,126,0
WN,ORF,0,145,9,4,29,26100,473,24,2.79,2.82,126,0
WN,BOS,0,170,13,6,55,26100,473,24,2.79,2.82,126,0
WN,MDW,0,29,11,3,91,26100,473,24,2.79,2.82,126,0
WN,PWM,0,50,9,3,62,26100,473,24,2.79,2.82,126,0
WN,ECP,0,34,13,5,111,26100,473,24,2.79,2.82,126,0
WN,ABQ,0,111,23,4,218,26100,473,24,2.79,2.82,126,0
WN,DEN,10,37,30,9,201,27300,473,24,2.68,3.45,160,0
WN,CVG,11,10,37,6,63,26100,473,24,2.79,2.82,126,0
WN,DAL,34,9,66,6,152,27300,473,24,2.68,3.45,160,0
WN,GRR,73,16,70,9,94,26100,473,24,2.79,2.82,126,0
WN,MCO,4,15,36,7,106,27300,473,24,2.68,3.45,160,0
WN,MHT,0,32,8,12,48,27300,473,24,2.68,3.45,160,0
WN,RSW,123,145,10,9,128,26100,473,24,2.79,2.82,126,0
WN,CLT,22,108,41,4,57,26100,473,24,2.79,2.82,126,0
WN,TPA,0,31,17,3,114,27300,473,24,2.68,3.45,160,0
WN,DEN,16,37,23,4,224,26100,473,24,2.79,2.82,126,0
WN,SAN,0,29,15,4,285,26100,473,24,2.79,2.82,126,0
WN,MCO,3,17,24,12,102,27300,473,24,2.68,3.45,160,0
WN,IND,2,32,25,5,77,26100,473,24,2.79,2.82,126,0
WN,MCI,6,38,15,5,146,27300,473,24,2.68,3.45,160,0
WN,RDU,0,48,11,5,41,26100,473,24,2.79,2.82,126,0
WN,MEM,0,56,21,3,105,26100,473,24,2.79,2.82,126,0
WN,PBI,0,213,15,25,95,26100,473,24,2.79,2.82,126,0
WN,STL,53,97,9,3,105,26100,473,24,2.79,2.82,126,0
WN,JAX,0,96,9,3,87,26100,473,24,2.79,2.82,126,0
WN,TPA,0,57,14,6,112,26100,473,24,2.79,2.82,126,0
WN,BOS,0,36,8,5,62,26100,473,24,2.79,2.82,126,0
WN,PBI,0,78,9,3,117,26100,473,24,2.79,2.82,126,0
WN,MDW,0,161,8,20,90,26100,473,24,2.79,2.82,126,0
WN,BHM,0,100,11,2,88,26100,473,24,2.79,2.82,126,0
WN,ATL,0,99,18,7,80,26100,473,24,2.79,2.82,126,0
WN,HOU,0,162,9,6,159,27300,473,24,2.68,3.45,160,0
WN,MHT,0,77,12,4,56,26100,473,24,2.79,2.82,126,0
WN,MSP,0,99,16,14,125,26100,473,24,2.79,2.82,126,0
WN,DAL,0,101,8,4,149,27300,473,24,2.68,3.45,160,0
WN,BNA,0,98,10,9,77,27300,473,24,2.68,3.45,160,0
WN,ISP,0,97,16,4,44,27300,473,24,2.68,3.45,160,0
WN,CHS,0,181,9,3,67,26100,473,24,2.79,2.82,126,0
WN,CVG,0,73,11,6,74,26100,473,24,2.79,2.82,126,0
WN,FLL,0,105,13,10,119,27300,473,24,2.68,3.45,160,0
WN,HOU,0,66,13,5,151,26100,473,24,2.79,2.82,126,0
WN,MSY,0,225,13,6,120,27300,473,24,2.68,3.45,160,0
WN,PWM,10,43,17,3,75,26100,473,24,2.79,2.82,126,0
WN,MDW,0,181,10,4,87,26100,473,24,2.79,2.82,126,0
WN,DEN,0,92,11,4,208,27300,473,24,2.68,3.45,160,0
