Route,Yield,Seats,Lcl_Percent,Lcl_Fare,Miles,market_share_seats,number_of_airline,number_of_LCC
CLT-ORD,20.53399308,173.3369565,54.01688619,142.4993093,599,0.240654946,2,0
CLT-ORD,21.69967317,181.7888889,48.22080265,164.4857817,599,0.277366199,2,0
CLT-ORD,21.78593012,229.1978022,41.61271336,172.4977214,599,0.334941907,2,0
CLT-ORD,21.62251198,247.7228261,46.38987737,155.5188468,599,0.343662588,2,0
CLT-ORD,21.36012353,208.3913043,46.27163759,151.97357,599,0.316620425,2,0
CLT-ORD,23.7056308,173.8944444,40.22169918,189.997819,599,0.294747448,2,0
CLT-ORD,23.71205898,251.8791209,38.18913421,193.0176166,599,0.407509801,2,0
CLT-ORD,24.44443122,245.8695652,41.90241719,181.422143,599,0.395537525,2,0
CLT-ORD,23.27003642,218.9130435,38.13862469,192.9550073,599,0.380459423,2,0
CLT-ORD,27.37896494,223.3736264,40.96643699,218.4097327,599,0.122327637,3,0
CLT-ORD,26.04605186,302.9450549,43.01543175,189.5554773,599,0.151746839,3,0
CLT-ORD,27.12928013,265.0978261,44.94987533,200.9912241,599,0.137419075,3,0
CLT-ORD,24.86829129,235.8804348,38.40204252,199.5973379,599,0.124757109,3,0
CLT-ORD,26.28980411,243.7555556,40.75097402,214.1444402,599,0.126469681,3,0
CLT-ORD,22.12065177,289.3186813,37.29929524,162.4918878,599,0.142714271,3,0
CLT-ORD,23.88467826,270.2282609,35.73167801,178.8961659,599,0.134296672,3,0
CLT-ORD,23.97535415,239.0706522,33.4612799,174.0898971,599,0.119602603,3,0
CLT-ORD,25.40263668,202.5333333,38.5798607,188.6820179,599,0.111819989,3,0
CLT-ORD,24.79636187,150.1098901,33.68296503,168.0362491,599,0.073240433,3,0
CLT-ORD,21.48379516,175.2717391,31.28186306,157.7904419,599,0.085227047,3,0
CLT-ORD,21.03896619,276.1956522,30.57583481,157.5819261,599,0.129207441,3,0
CLT-ORD,22.3706177,296,23.51545626,196.0935138,599,0.142379947,3,0
CLT-ORD,23.11794792,425.2197802,29.60276287,197.4483177,599,0.205550037,3,0
CLT-ORD,21.20273143,1686.467391,28.34686533,186.5021806,599,0.789335789,2,0
CLT-ORD,20.95181844,1626.891304,30.00889982,167.5069622,599,0.785000066,2,0
CLT-ORD,22.61949791,1480.505495,27.71988805,193.4539623,599,0.793656685,2,0
CLT-ORD,21.36894825,1576.626374,33.5069898,159,599,0.744849964,3,1
CLT-ORD,21.44759729,1588.092391,33.49122066,159.4518463,599,0.712058815,3,1
CLT-ORD,21.11774586,1560.76087,37.46180902,149.4858931,599,0.755504226,3,1
CLT-ORD,21.78458424,1512.822222,31.09472171,177.9586384,599,0.807999644,2,0
CLT-ORD,22.78979411,1585.747253,36.62547071,174,599,0.774731292,2,0
CLT-ORD,22.62206241,1525.309783,35.26190454,179.9753848,599,0.740412341,2,0
CLT-ORD,22.78699549,1532.858696,36.73530946,178.505897,599,0.761224886,2,0
CLT-ORD,22.87145242,1520.844444,30.6410153,200.5075569,599,0.812045777,2,0
CLT-ORD,23.79212039,1526.192308,36.94247477,192.4851989,599,0.817432991,2,0
CLT-ORD,24.11378325,1544.5,38.60694858,190.424865,599,0.79444036,2,0
CLT-ORD,23.12140512,1555.782609,36.90778195,181.5027833,599,0.826633478,2,0
CLT-ORD,23.03501491,1600.761111,30.54937501,203,599,0.836671167,2,0
CLT-ORD,23.35643989,1622.89011,35.11055364,191.9050749,599,0.806352188,2,0
CLT-ORD,23.86444362,1627.782609,36.85146928,194.9740086,599,0.798660331,2,0
CLT-ORD,22.78879533,1634.391304,35.99041592,187.0195361,599,0.817111277,2,0
CLT-ORD,22.17756905,1396.906593,30.99146886,204.2654579,599,0.839035547,2,0
CLT-ORD,13.43585916,723.6373626,18.88090311,128.4551915,599,0.883645098,2,0
CLT-ORD,12.25692483,1214.918478,23.24656285,102.9459865,599,0.904107096,2,0
CLT-ORD,12.43852676,1117.728261,25.61682409,96.01355063,599,0.863251917,2,0
CLT-ORD,13.52253756,1134.055556,19.37690623,127.988185,599,0.879340053,2,0
CLT-ORD,15.86708912,1557.67033,28.59228681,129.0438638,599,0.898310455,2,0
CLT-ORD,17.94460937,1462.23913,39.89593688,131.4646303,599,0.891242994,2,0
CLT-ORD,18.69782972,1467.657609,38.51904928,132.4781015,599,0.867284575,2,0
CLT-ORD,19.19866444,1566.727778,31.97450443,145.9851214,599,0.883783826,2,0
CLT-ORD,25.88204663,1376.978022,40.78904794,184.9665407,599,0.815532906,2,0
CLT-ORD,25.8741968,1445.956522,34.28192889,203.4525359,599,0.803881993,2,0
CLT-ORD,27.96388074,1353.586957,31.87811616,229.9854175,599,0.786909486,2,0
CLT-ORD,25.04619478,1303.7,30.42567943,195.4599399,599,0.790078649,2,0
CLT-ORD,26.46385232,1467.076923,37.95898978,191.4815246,599,0.786474227,2,0
CLT-ORD,24.37141599,1530.375,36.40563203,180.9391271,599,0.719309987,3,1
CLT-ORD,23.28910545,1481.554348,34.16475731,170.494775,599,0.675943535,3,1
CLT-ORD,23.12522368,1405.120879,30.81840207,174.0401797,599,0.722729354,3,1
CLT-PHL,29.97762864,22.82608696,15.72413793,222,447,0.016119747,2,0
CLT-PHL,26.17449664,77.01086957,14.5894668,177,447,0.051091416,2,0
CLT-PHL,29.97762864,76.38888889,17.33905579,238,447,0.050846831,3,1
CLT-PHL,25.950783,31.59340659,10.0373732,213,447,0.018794658,3,1
CLT-PHL,28.52770145,507.634058,16.42033633,213.6377541,447,0.305122359,2,1
CLT-PHL,25.58349278,795.3152174,24.52212198,161.2258757,447,0.459114011,2,1
CLT-PHL,27.14497476,528.4304029,19.00886003,217.2631697,447,0.333333333,1,0
CLT-PHL,28.78339339,720.1263736,27.52051728,177.0611476,447,0.465942137,2,1
CLT-PHL,28.29596121,669.4456522,20.93842364,201.2755801,447,0.455142701,2,1
CLT-PHL,29.47516546,685.6494565,22.39073141,198.2380312,447,0.463567751,2,1
CLT-PHL,29.7533568,1433.338889,24.32798164,210.4981287,447,0.935223347,2,1
CLT-PHL,31.09021624,1433.241758,23.93344342,224.4799499,447,0.90409677,2,1
CLT-PHL,29.94768432,1426.445652,23.57629196,225.8996117,447,0.915453461,2,1
CLT-PHL,27.53883383,758.0923913,24.01692874,193.8937738,447,0.473232279,2,1
CLT-PHL,30.98500591,1560.822222,21.6066742,252.0068032,447,0.949796821,2,1
CLT-PHL,33.90343586,1395.104396,26.87110802,243.5483583,447,0.932388615,2,1
CLT-PHL,32.43783079,1393.913043,26.44800896,231.5021723,447,0.935771515,2,1
CLT-PHL,32.10118462,1557.184783,25.99572864,234.9938362,447,0.916336725,2,1
CLT-PHL,31.32888772,1589.977778,21.72020804,261.5334401,447,0.939456408,2,1
CLT-PHL,34.12643113,1431.554945,24.32990883,263.0386976,447,0.920877676,2,1
CLT-PHL,31.42801701,1400.11413,27.16966956,225.9865888,447,0.884483996,2,1
CLT-PHL,29.30702491,1548.907609,28.70281076,194.496398,447,0.881621075,2,1
CLT-PHL,25.61863636,1454.032967,32.44031591,143.0174909,447,0.874678566,2,1
CLT-PHL,17.33615008,722.6813187,18.97183478,108.9950606,447,1,1,0
CLT-PHL,14.31767338,1063.815217,24.27325416,75.94148638,447,0.92393018,2,1
CLT-PHL,16.21580028,1031.081522,22.95253345,97.6383549,447,0.907577055,2,1
CLT-PHL,15.77018569,1122.888889,19.41268345,94.0145399,447,0.934633028,2,1
CLT-PHL,19.13101463,1489.807692,22.66712986,116,447,0.899591585,2,1
CLT-PHL,21.92393736,1224.38587,29.08609441,124.5103178,447,0.868415676,2,1
CLT-PHL,23.82724638,1189.603261,33.89108034,130,447,0.880723129,2,1
CLT-PHL,24.84164865,1243.883333,26.23489814,155,447,0.889890025,2,1
CLT-PHL,33.78696281,1195.571429,29.82125512,208.0831713,447,0.848518172,2,1
CLT-PHL,35.00753126,1204.423913,32.45036427,215.4836647,447,0.869204038,2,1
CLT-PHL,36.46067281,1371.173913,33.08712018,220.4896037,447,0.882703221,2,1
CLT-PHL,33.00285651,1358.311111,31.58786197,196.0151791,447,0.930449211,2,1
CLT-PHL,35.79418345,1371.252747,34.63640029,201.0901135,447,0.864197018,2,1
CLT-PHL,32.42475849,1362.342391,32.00781958,191.9693352,447,0.76789538,2,1
CLT-PHL,32.67015206,1392.288043,31.59941791,193.5889492,447,0.727615363,2,1
CLT-PHL,31.77932716,1437.752747,27.79921195,209.0535924,447,0.785579403,2,1
CLT-PHX,9.867755544,1615.668478,7.42404142,297.0719778,1774,1,1,0
CLT-PHX,10.14989379,1505.869565,11.71931749,275.0295579,1774,1,1,0
CLT-PHX,10.96460919,1521.137363,13.13014858,342.0243339,1774,1,1,0
CLT-PHX,10.1187329,1679.335165,9.956561789,307,1774,1,1,0
